Course Id,Category,Sub-Category,Rating,Instructors.
504,Business,Leadership and Management,4.7,
506,Business,Leadership and Management,4.7,
515,Business,Leadership and Management,4.7,
544,Business,Finance,4.7,
568,Business,Business Strategy,4.7,
570,Business,Leadership and Management,4.7,
571,Business,Finance,4.7,
572,Business,Leadership and Management,4.7,
579,Business,Entrepreneurship,4.7,
584,Business,Business Essentials,4.7,
598,Business,Marketing,4.7,
612,Business,Finance,4.7,
616,Business,Business Essentials,4.7,
622,Business,Finance,4.7,
640,Business,Leadership and Management,4.7,
668,Business,Business Essentials,4.7,
715,Business,Leadership and Management,4.7,
741,Business,Business Essentials,4.7,
750,Business,Marketing,4.7,
761,Business,Leadership and Management,4.7,
782,Business,Leadership and Management,4.7,
807,Business,Finance,4.7,
813,Business,Leadership and Management,4.7,
816,Business,Leadership and Management,4.7,
857,Business,Business Essentials,4.7,
865,Business,Business Strategy,4.7,
874,Business,Leadership and Management,4.7,
907,Business,Leadership and Management,4.7,
923,Business,Business Strategy,4.7,
948,Business,Finance,4.7,
966,Business,Business Essentials,4.7,
985,Business,Business Strategy,4.7,
988,Business,Finance,4.7,
1045,Business,Business Strategy,4.7,
1054,Business,Business Essentials,4.7,
1075,Business,Marketing,4.7,
1080,Business,Business Strategy,4.7,
1094,Business,Leadership and Management,4.7,
1106,Business,Leadership and Management,4.7,
1117,Business,Leadership and Management,4.7,
1135,Business,Entrepreneurship,4.7,
1173,Business,Leadership and Management,4.7,
1182,Business,Marketing,4.7,
1191,Business,Leadership and Management,4.7,
1194,Business,Marketing,4.7,
1199,Business,Finance,4.7,
1203,Business,Business Strategy,4.7,
1224,Business,Leadership and Management,4.7,
1226,Business,Business Strategy,4.7,
1237,Business,Business Strategy,4.7,
1249,Business,Business Strategy,4.7,
1263,Business,Finance,4.7,
1266,Business,Marketing,4.7,
1267,Business,Leadership and Management,4.7,
1316,Business,Leadership and Management,4.7,
1369,Business,Marketing,4.7,
1381,Business,Business Essentials,4.7,
1392,Business,Finance,4.7,
1394,Business,Finance,4.7,
1404,Business,Business Strategy,4.7,
1428,Business,Business Strategy,4.7,
1431,Business,Marketing,4.7,
1442,Business,Leadership and Management,4.7,
1452,Business,Business Essentials,4.7,
1485,Business,Leadership and Management,4.7,
1486,Business,Business Essentials,4.7,
1495,Business,Business Essentials,4.7,
1497,Business,Business Essentials,4.7,
1520,Business,Marketing,4.7,
1524,Business,Entrepreneurship,4.7,
1528,Business,Business Strategy,4.7,
1567,Business,Marketing,4.7,
1570,Business,Leadership and Management,4.7,
1571,Business,Business Essentials,4.7,
1572,Business,Business Strategy,4.7,
1576,Business,Leadership and Management,4.7,
1585,Business,Marketing,4.7,
1606,Business,Finance,4.7,
1635,Business,Marketing,4.7,
1638,Business,Marketing,4.7,
1647,Business,Leadership and Management,4.7,
1652,Business,Marketing,4.7,
1666,Business,Business Essentials,4.7,
1673,Business,Leadership and Management,4.7,
1692,Business,Leadership and Management,4.7,
1705,Business,Leadership and Management,4.7,
1711,Business,Business Essentials,4.7,
1749,Business,Finance,4.7,
1766,Business,Business Strategy,4.7,
1770,Business,Leadership and Management,4.7,
1782,Business,Leadership and Management,4.7,
1794,Business,Leadership and Management,4.7,
1813,Business,Leadership and Management,4.7,
1824,Business,Finance,4.7,
1829,Business,Leadership and Management,4.7,
1853,Business,Business Essentials,4.7,
1865,Business,Leadership and Management,4.7,
1867,Business,Finance,4.7,
1875,Business,Leadership and Management,4.7,
1890,Business,Marketing,4.7,
1915,Business,Finance,4.7,
1917,Business,Marketing,4.7,
1936,Business,Business Strategy,4.7,
1944,Business,Leadership and Management,4.7,
1989,Business,Leadership and Management,4.7,
2004,Business,Business Strategy,4.7,
2007,Business,Finance,4.7,
2013,Business,Finance,4.7,
2026,Business,Finance,4.7,
2058,Business,Leadership and Management,4.7,
2089,Business,Leadership and Management,4.7,
2119,Business,Finance,4.7,
2128,Business,Business Essentials,4.7,
2131,Business,Entrepreneurship,4.7,
2133,Business,Marketing,4.7,
2142,Business,Leadership and Management,4.7,
2148,Business,Business Essentials,4.7,
2174,Business,Finance,4.7,
2183,Business,Marketing,4.7,
2184,Business,Leadership and Management,4.7,
2196,Business,Entrepreneurship,4.7,
2199,Business,Finance,4.7,
2210,Business,Finance,4.7,
2236,Business,Marketing,4.7,
2254,Business,Business Essentials,4.7,
2259,Business,Business Essentials,4.7,
2268,Business,Finance,4.7,
2271,Business,Finance,4.7,
2279,Business,Entrepreneurship,4.7,
2284,Business,Leadership and Management,4.7,
2288,Business,Leadership and Management,4.7,
2301,Business,Business Strategy,4.7,
2317,Business,Business Essentials,4.7,
2318,Business,Leadership and Management,4.7,
2320,Business,Finance,4.7,
2321,Business,Leadership and Management,4.7,
2375,Business,Finance,4.7,
2379,Business,Leadership and Management,4.7,
2382,Business,Business Essentials,4.7,
2383,Business,Business Strategy,4.7,
2391,Business,Marketing,4.7,
2394,Business,Business Strategy,4.7,
2403,Business,Business Strategy,4.7,
